"SKMEL2_Untreated_1" "SKMEL2_Untreated_2" "SKMEL2_Untreated_3" "SKMEL2_Induced_18hours_1" "SKMEL2_Induced_18hours_2" "SKMEL2_Induced_18hours_3"
"ENSG00000039139" 1 2 7 7 0 7
"ENSG00000039319" 3007 3260 3645 3839 3101 3112
"ENSG00000039523" 601 767 928 794 640 706
"ENSG00000039560" 1068 1325 1621 1446 1179 1208
"ENSG00000039600" 7 5 4 12 7 2
"ENSG00000039650" 365 443 530 513 400 415
"ENSG00000039987" 1 1 1 1 1 1
"ENSG00000040199" 532 546 607 615 577 560
"ENSG00000040275" 1302 1650 1921 1622 1370 1351
"ENSG00000040341" 956 1006 1335 1234 971 928
"ENSG00000040487" 302 338 382 454 317 391
"ENSG00000040531" 250 375 374 366 294 312
"ENSG00000040608" 11 10 18 18 12 16
"ENSG00000040633" 835 1014 1275 1171 949 998
"ENSG00000040933" 537 624 641 704 585 552
"ENSG00000041353" 17 13 13 29 13 15
"ENSG00000041357" 2199 2693 2868 2894 2440 2425
"ENSG00000041515" 7 6 9 12 11 11
"ENSG00000041802" 2126 2697 2930 2745 2378 2341
"ENSG00000041880" 335 355 459 395 322 300
"ENSG00000041982" 19433 23466 26892 23851 19001 19544
"ENSG00000041988" 124 191 190 185 166 150
"ENSG00000042062" 9 10 6 8 4 6
